石景山|八角|石景嘉园 1室1厅 550万|石景嘉园| | 1室1厅 | 100平米 | 南 北 | 其他|低楼层(共21层)  2011年建板楼  -  |八角|550万|单价55000元/平米
石景山|八角|八角南里 1室1厅 210万|八角南里| | 1室1厅 | 53.56平米 | 南 北 | 简装|中楼层(共6层)  1999年建板楼  -  |八角|210万|单价39209元/平米
石景山|城子|绿岛家园两居室   南北通透   交通方便|绿岛家园| | 2室1厅 | 89.9平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |城子|235万|单价26141元/平米
石景山|城子|城子西街 满五唯一 全明格局 诚意出售|城子西街| | 2室1厅 | 66.6平米 | 南 北 | 简装|高楼层(共6层)  1990年建板楼  -  |城子|133万|单价19970元/平米
石景山|城子|阁外山水  满五唯一  东西通透  一梯两户|阁外山水| | 2室1厅 | 99.57平米 | 东 西 | 其他|低楼层(共12层)  2001年建板楼  -  |城子|230万|单价23100元/平米
石景山|城子|阁外山水两室一厅采光好优质房源户型好|阁外山水| | 2室1厅 | 99.53平米 | 东 西 | 精装|中楼层(共12层)  2001年建板楼  -  |城子|240万|单价24114元/平米
石景山|城子|剧场东街 东西通透交通便利的好房子|剧场东街| | 2室1厅 | 92.5平米 | 东 西南 | 简装|高楼层(共6层)  1980年建板楼  -  |城子|180万|单价19460元/平米
石景山|城子|向东楼南北两居诚售，环境优美，繁华地段|向东楼小区| | 2室1厅 | 58.51平米 | 东 南 北 | 简装|高楼层(共6层)  1982年建板楼  -  |城子|150万|单价25637元/平米
石景山|城子|11 +12复式，电梯房  一梯两户|阁外山水| | 3室2厅 | 212平米 | 南 北 | 精装|高楼层(共12层)  2001年建板楼  -  |城子|498万|单价23491元/平米
石景山|城子|三家店新建路   两居室  满五唯一  南北通透|三家店新建路| | 2室1厅 | 55.3平米 | 南 北 | 简装|高楼层(共5层)  1977年建板楼  -  |城子|106万|单价19169元/平米
石景山|城子|阁外山水 满五唯一 200平 四室大复式 有双露台|阁外山水| | 4室2厅 | 200.21平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |城子|380万|单价18981元/平米
石景山|城子|城子西街1号院一层南北通透户型二居 满五唯一 |城子西街1号院| | 2室1厅 | 84.04平米 | 南 北 | 简装|低楼层(共6层)  2004年建板楼  -  |城子|200万|单价23799元/平米
石景山|城子|阁外山水6+7复式  南北通透  满五唯一|阁外山水| | 3室2厅 | 190平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |城子|450万|单价23685元/平米
