丰台|北京南站|二环外三环内，鼎立水岸家园，满五年唯一商品房|鼎立水岸家园| | 3室2厅 | 133.39平米 | 西 北 | 简装|低楼层(共21层)  2008年建板塔结合  -  |北京南站|695万|单价52103元/平米
丰台|北京南站|右安门外 开阳里二区 南北3居 上下2层通透复式 |开阳里二区| | 3室2厅 | 125.34平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |北京南站|650万|单价51859元/平米
丰台|北京南站|世纪金色嘉园 一层一居室 可做底商 诚心出售近地铁|世纪金色嘉园| | 1室1厅 | 57.78平米 | 北 | 简装|低楼层(共28层)  2002年建塔楼  -  |北京南站|280万|单价48460元/平米
丰台|北京南站|翠林公交总站 南北3居室 送露台 地铁4号线19号线|翠林三里| | 3室1厅 | 86.22平米 | 南 北 | 简装|高楼层(共6层)  1996年建板楼  -  |北京南站|420万|单价48713元/平米
丰台|北京南站|右安门外 开阳里一区 南北通透 低楼层|开阳里一区| | 2室1厅 | 57平米 | 南 北 | 精装|低楼层(共6层)  1990年建板楼  -  |北京南站|280万|单价49123元/平米
丰台|北京南站|开阳路附近南北通透两居室，有钥匙随时看房。|翠林一里| | 2室1厅 | 56.5平米 | 南 北 | 简装|高楼层(共6层)  1996年建板楼  -  |北京南站|275万|单价48673元/平米
丰台|北京南站|南二环世纪金色嘉园，观景大一居，陶然亭公园一览无余|世纪金色嘉园| | 1室1厅 | 63.85平米 | 北 | 简装|中楼层(共30层)  2002年建塔楼  -  |北京南站|360万|单价56383元/平米
丰台|北京南站|一居室改两居室。业主换房，诚心出售，商品房|开阳里四区| | 2室1厅 | 46平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |北京南站|330万|单价71740元/平米
丰台|北京南站|北京南站右安门外翠林小区正规一居室|翠林三里| | 1室1厅 | 49平米 | 东 | 简装|高楼层(共6层)  1997年建板楼  -  |北京南站|220万|单价44898元/平米
丰台|北京南站|南北通透三居室，光线充足，配套齐全，满五年唯一|翠林一里| | 3室1厅 | 82.86平米 | 西 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |北京南站|400万|单价48275元/平米
丰台|北京南站|南二环东北两居电梯房，紧邻4号线和14号线地铁  急售|开阳里六区| | 2室1厅 | 87平米 | 东 西 北 | 精装|高楼层(共18层)  2002年建塔楼  -  |北京南站|388万|单价44598元/平米
丰台|北京南站|北京南站 开阳里三区 东南向精装两居室 |开阳里三区| | 2室1厅 | 84.92平米 | 东南 | 精装|低楼层(共24层)  2002年建塔楼  -  |北京南站|470万|单价55347元/平米
丰台|北京南站|朝南，正规一居，低层，适合老人居住。|翠林一里| | 1室1厅 | 39.6平米 | 南 | 简装|低楼层(共6层)  1996年建板楼  -  |北京南站|210万|单价53031元/平米
丰台|北京南站|翠林一里 2室1厅 300万|翠林一里| | 2室1厅 | 65.53平米 | 东南 | 精装|低楼层(共18层)  1998年建塔楼  -  |北京南站|300万|单价45781元/平米
丰台|北京南站|开阳里唯一 一套精装修两居   无税 业主随时配合签约 |开阳里八区| | 2室1厅 | 66平米 | 南 北 | 精装|低楼层(共6层)  2003年建板楼  -  |北京南站|395万|单价59849元/平米
丰台|北京南站|南北通透钥匙房温馨二居，诚售好房|右外东庄| | 2室1厅 | 57平米 | 南 北 | 简装|高楼层(共6层)  1992年建板楼  -  |北京南站|268万|单价47018元/平米
丰台|北京南站|开阳里 带电梯方正朝东向大2居 高得房率|开阳里三区| | 2室1厅 | 91.5平米 | 东 | 简装|低楼层(共24层)  2002年建塔楼  -  |北京南站|480万|单价52460元/平米
丰台|北京南站|陶然亭公园 北京南站南北通透三居精装修业主诚售|右外东庄| | 3室1厅 | 71平米 | 北 南 | 其他|中楼层(共6层)  1992年建板楼  -  |北京南站|355万|单价50000元/平米
丰台|北京南站|紧邻南二环 开阳里 正规两居室 满五年单位公房|开阳里一街| | 2室1厅 | 66.14平米 | 南 北 | 简装|地下室(共12层)  1996年建板塔结合  -  |北京南站|209万|单价31600元/平米
丰台|北京南站|三地铁交汇 1996年南北两居室 总价低 看房方便|翠林二里| | 2室1厅 | 61.85平米 | 南 北 | 其他|中楼层(共6层)  1996年建板楼  -  |北京南站|305万|单价49313元/平米
丰台|北京南站|右安门外 开阳里一区 南北两居室 独门独院 低楼层|开阳里一区| | 2室1厅 | 57平米 | 南 北 | 简装|中楼层(共6层)  1990年建板楼  -  |北京南站|260万|单价45615元/平米
丰台|北京南站|地铁房 南北通透 有正规客厅 楼层好|幸福路6号院| | 2室1厅 | 59.7平米 | 南 北 | 简装|低楼层(共6层)  1990年建板楼  -  |北京南站|272万|单价45562元/平米
丰台|北京南站|右安门外 高板带电梯 南北通透正规两居|祥和苑| | 2室1厅 | 97平米 | 南 北 | 精装|中楼层(共14层)  1999年建板塔结合  -  |北京南站|500万|单价51547元/平米
丰台|北京南站|二环边不限购嘉特美公馆LOFT可注册可居住民水民电|嘉特美公馆| | 1室1厅 | 36.51平米 | 北 | 精装|高楼层(共15层)  2011年建塔楼  -  |北京南站|216万|单价59162元/平米
丰台|北京南站|开阳里六区，南北通透，复式结构，大三居室。|开阳里六区| | 3室1厅 | 119.83平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北京南站|520万|单价43395元/平米
丰台|北京南站|精装修婚房两居室，拎包入住，采光无遮挡。|开阳里一区| | 2室1厅 | 57.98平米 | 南 北 | 精装|高楼层(共6层)  1990年建板楼  -  |北京南站|295万|单价50880元/平米
丰台|北京南站|南二环 开阳里一区 南向低楼层一居室 免税|开阳里一区| | 1室1厅 | 44.7平米 | 南 北 | 精装|中楼层(共6层)  1990年建板楼  -  |北京南站|198万|单价44296元/平米
丰台|北京南站|开阳里小区 带电梯的 西南大二居|开阳里六区| | 2室1厅 | 86.5平米 | 西南 | 简装|高楼层(共18层)  2002年建塔楼  -  |北京南站|450万|单价52024元/平米
丰台|北京南站|北京南站很少出中间楼层东南三居室带尽200平米平台|开阳里七区| | 3室1厅 | 98平米 | 东 南 | 简装|中楼层(共6层)  2002年建板楼  -  |北京南站|550万|单价56123元/平米
丰台|北京南站|陶然亭 北京南站双地铁 南北通透精装三居室|车站路6号院| | 3室1厅 | 68.85平米 | 南 北 | 其他|中楼层(共6层)  1985年建板楼  -  |北京南站|380万|单价55193元/平米
