西城|白纸坊|西城区二环内 白纸坊正规朝东三居室 带电梯|天缘公寓| | 3室1厅 | 187平米 | 东 | 精装|中楼层(共28层)  1999年建塔楼  -  |白纸坊|897万|单价47968元/平米
西城|白纸坊|西二环内  朝西大一居室底商 业主诚心出售|恬心家园| | 1室1厅 | 186.53平米 | 西 | 其他|低楼层(共18层)  2003年建板塔结合  -  |白纸坊|900万|单价48250元/平米
西城|白纸坊|二环内，西城区，2000年电梯房诚心出售！|天缘公寓| | 3室2厅 | 187.16平米 | 东 | 其他|高楼层(共28层)  1999年建塔楼  -  |白纸坊|760万|单价40607元/平米
西城|白纸坊|二环内 建功南里  正规两居室  诚心出售|建功南里| | 2室1厅 | 81.22平米 | 西北 | 其他|中楼层(共18层)  1996年建塔楼  -  |白纸坊|500万|单价61562元/平米
西城|崇文门|满五年唯一 南向开间 有钥匙随时看|兴隆都市馨园| | 1室0厅 | 30.81平米 | 南 | 简装|低楼层(共7层)  2004年建塔楼  -  |崇文门|266万|单价86336元/平米
西城|崇文门|崇文小学学区 全明格局东南北一居室 满五年唯一。|新景家园东区| | 1室1厅 | 61.37平米 | 东 | 简装|中楼层(共16层)  2002年建板塔结合  -  |崇文门|490万|单价79844元/平米
西城|崇文门|天坛公园 培新小学 正南两居 总价低 |法华南里| | 2室1厅 | 58.24平米 | 东南 | 简装|高楼层(共6层)  1994年建板楼  -  |崇文门|420万|单价72116元/平米
西城|崇文门|崇文小学新景东区全东西通透满五唯一看房有钥匙|新景家园东区| | 2室1厅 | 80.18平米 | 东 西 | 简装|低楼层(共17层)  2002年建板楼  -  |崇文门|690万|单价86057元/平米
西城|崇文门|双南向两居室，采光好无遮挡，满五唯一|南岗子| | 2室1厅 | 51.7平米 | 南 | 简装|高楼层(共6层)  1978年建板楼  -  |崇文门|375万|单价72534元/平米
西城|崇文门|新怡家园南向2居 格局方正 总价低|新怡家园| | 2室1厅 | 124平米 | 南 | 精装|中楼层(共15层)  2004年建板楼  -  |崇文门|1238万|单价99839元/平米
西城|崇文门|新景商品一居室 业主诚心出售 精装修|新景家园东区| | 1室1厅 | 59.83平米 | 西 | 精装|中楼层(共18层)  2006年建板塔结合  -  |崇文门|575万|单价96106元/平米
西城|崇文门|崇文门新世界家园南北通透三居室满五年唯一|新世界家园| | 3室2厅 | 172.31平米 | 南 北 | 精装|高楼层(共9层)  2000年建板楼  -  |崇文门|1700万|单价98660元/平米
西城|崇文门|新怡家园南北舒适3居 高楼层视野开阔 总价低|新怡家园| | 3室2厅 | 156.16平米 | 南 北 | 其他|高楼层(共15层)  2004年建板楼  -  |崇文门|1400万|单价89652元/平米
西城|崇文门|崇文门新世界家园南北通透大复式带封闭露台满五年唯一|新世界家园| | 4室1厅 | 273平米 | 南 北 | 精装|高楼层(共11层)  2003年建板楼  -  |崇文门|2800万|单价102565元/平米
西城|崇文门|新裕家园  豪装 南北三居  满五唯一  拎包入住|新裕家园| | 3室2厅 | 125.67平米 | 南 北 | 精装|低楼层(共16层)  2004年建板塔结合  -  |崇文门|1200万|单价95489元/平米
